ID;Article_Number;Variant;ArticleFamily;Customer;ScheduleName;Enabled;Print_File_Name;Print_Mask_Name
10351353;10351353-00;Daimer SVS;L;A2069005602;ProductionMode;true;;
10351349;10351349-00;Daimer SVS;L;A2069005702;ProductionMode;true;;
10351381;10351381-00;Daimer SVS;L;A2069005802;ProductionMode;true;;
10351339;10351339-00;Daimer SVS;L;A2069006102;ProductionMode;true;;
10351335;10351335-00;Daimer SVS;L;A2069006202;ProductionMode;true;;
10351328;10351328-00;Daimer SVS;L;A2069006302;ProductionMode;true;;
10351372;10351372-00;Daimer SVS;L;A2069006602;ProductionMode;true;;
10351371;10351371-00;Daimer SVS;L;A2069006702;ProductionMode;true;;
10516837;10516837-00;Daimer SVS;L;A2069007103;ProductionMode;true;;
10516841;10516841-00;Daimer SVS;L;A2066805803;ProductionMode;true;;
10351390;10351390-00;Daimer SVS;L;A2066804103;ProductionMode;true;;
10516833;10516833-00;Daimer SVS;R;A2069009903;ProductionMode;true;;
10351351;10351351-00;Daimer SVS;R;A2069007002;ProductionMode;true;;
10351347;10351347-00;Daimer SVS;R;A2069007102;ProductionMode;true;;
10351375;10351375-00;Daimer SVS;R;A2069007202;ProductionMode;true;;
10351364;10351364-00;Daimer SVS;R;A2069008402;ProductionMode;true;;
10351389;10351389-00;Daimer SVS;R;A2069006502;ProductionMode;true;;
10516835;10516835-00;Daimer SVS;R;A2069009703;ProductionMode;true;;
